Designation,LCDB_Period [hours],Best_Period [hours],Manual_Overwrite,Reliability_Flag,Comments,#Minima,Chi2_g,Chi2_r,Avg_Chi2,N_obs_g,N_obs_r,Amplitude,Peak_Period,Half_Period,Twice_Period,Diameter,Diameter_Unit
22055,,47.9,,1,,3,0.8196515196,0.92288398,0.8712677498,59,78,0.1962822837,47.9,23.953,71.848,31.816,km
22056,57.1,55.484,,3,,2,1.008726423,1.511355309,1.260040866,49,109,0.3995572078,27.741,12.866,55.484,24.775,km
22059,,6.543,,3,,2,0.5345720806,0.6569131576,0.5957426191,65,72,0.1077542905,6.543,3.272,13.5,25.376,km
22149,7.84,9.594,,2,,2,1.190399806,1.182598012,1.186498909,107,241,0.1027110884,4.798,2.4,9.594,48.19,km
22227,,6.168,,3,,2,0.7458525783,0.834306831,0.7900797046,71,100,0.1728784424,3.084,1.416,6.168,,
23119,,14.541,,3,,2,0.9310895103,1.101079282,1.016084396,84,217,0.1775853902,7.271,3.806,14.541,32.954,km
23135,8.69,3.935,,1,,2,1.207192475,1.064319786,1.135756131,90,196,0.05101757585,7.788,3.935,15.983,66.23,km
23144,,11.141,41.678,3,,2,0.7281043534,0.933119656,0.8306120047,59,127,0.2252745284,20.84,11.141,41.678,19.007,km
23269,,36.578,,1,,3,0.6376231821,0.7465600152,0.6920915986,54,109,0.1140127106,36.578,18.29,71.012,24.114,km
23285,,8.783,,3,,2,0.8967216101,0.8008367448,0.8487791774,66,136,0.1397872834,8.783,4.392,16.136,29.69,km
23480,4.07,7.533,,1,,1,1.156986971,1.397237258,1.277112115,100,172,0.1482899393,7.533,4.138,8.498,27.621,km
23709,13.08,13.071,,3,,2,0.8309390023,0.7685692715,0.7997541369,49,83,0.2355523704,6.536,3.594,13.071,20.368,km
23710,,5.682,,3,,2,0.5275917836,0.6117635516,0.5696776676,66,97,0.100496388,5.682,2.841,11.175,17.104,km
23958,562,605.675,,2,,2,1.660427687,1.888619876,1.774523781,156,219,0.1036353446,1208.743,605.675,1303.621,46.001,km
23963,,9.918,,1,,1,0.5722684345,0.6120002034,0.592134319,67,158,0.2150642989,9.918,4.959,18.764,19.945,km
24233,,11.936,47.728,3,,2,0.8206225657,1.006995889,0.9138092276,56,99,0.1587901142,23.803,11.936,47.728,22.641,km
24244,,10.025,,3,,2,0.6299827785,1.096534099,0.8632584385,114,280,0.1316243905,10.025,5.226,22.022,35.342,km
24275,57.98,127.5,,2,,2,0.9572574869,0.8015241213,0.8793908041,66,117,0.078084319,127.5,60.46,136.281,28.389,km
24279,,24.345,,1,,2,0.5059944392,0.649418607,0.5777065231,68,99,0.08220551215,48.675,24.345,70.806,20.315,km
24380,,71.876,,3,,2,0.7578019647,0.928086415,0.8429441899,66,165,0.1240949378,71.876,35.969,71.952,31.607,km
24505,14.8068,14.806,,3,,2,0.5660666525,0.7293002351,0.6476834438,94,211,0.1112114396,14.806,7.403,32.114,31.888,km
24506,,32.258,,2,,2,0.7150478706,0.6187813383,0.6669146044,56,129,0.07726301174,32.258,16.129,64.501,39.052,km
24519,,40.874,,3,,2,0.5331468441,0.8885750692,0.7108609567,51,87,0.1740801198,20.437,11.039,40.874,26.279,km
24534,19.417,48.367,19.417,2,,2,0.7016830768,0.8066644104,0.7541737436,66,161,0.08688906637,47.66,23.764,48.367,29.913,km
24536,,10.648,,3,,2,0.7135924673,0.7024193468,0.708005907,80,95,0.1355724157,5.324,2.397,10.648,,
24537,10.489,10.488,,3,,2,0.51324745,0.7338773432,0.6235623966,64,169,0.1834418471,10.488,5.244,20.145,31.158,km
25911,8.8,8.761,,3,,2,0.7940035575,1.121765241,0.9578843992,65,74,0.1464160041,4.38,2.272,8.761,18.098,km
29603,,28.312,,3,,2,0.5810180569,0.6589295396,0.6199737982,95,132,0.1620887284,28.312,14.155,54.983,32.512,km
29977,,10.428,,3,,2,0.5728479859,0.724172218,0.648510102,61,90,0.1689373369,10.428,5.214,19.999,33.098,km
31806,,46.763,,3,,2,0.4258196541,0.8004855857,0.6131526199,66,96,0.1578747787,23.658,11.828,46.763,23.794,km
32480,,47.908,,1,,2,0.7515200897,0.6228055979,0.6871628438,53,83,0.120269908,23.824,11.973,47.908,29.583,km
34746,19.633,47.915,,1,,2,2.119377988,1.435198069,1.777288028,61,107,0.2002197278,45.527,23.924,47.915,61.684,km
35276,,71.863,,1,,3,0.7906545285,0.6290784248,0.7098664766,57,90,0.2531957588,71.863,35.922,71.949,25.296,km
36267,,6.486,,3,,2,0.7207144723,0.826808604,0.7737615382,115,224,0.1699776916,6.486,3.243,13.338,39.393,km
37297,,71.863,,1,,1,0.6217193493,0.6430813174,0.6324003334,90,159,0.1613040065,71.863,35.943,71.955,26.879,km
37299,,19.491,,3,,2,1.255033797,1.087413282,1.17122354,75,102,0.1538957259,10.599,5.009,19.491,25.017,km
37301,,47.853,,1,,2,0.5534213937,0.6971112139,0.6252663038,71,106,0.1160163644,24.1,12.01,47.853,27.099,km
38050,18.854,18.854,,3,,2,1.792166782,1.826287635,1.809227208,190,291,0.0789071659,9.427,4.788,18.854,61.603,km
38610,,16.93,,3,,2,0.5581142885,0.6958019291,0.6269581088,60,123,0.1188806994,16.93,8.465,35.348,29.497,km
39264,,4.346,,1,,2,0.5889694543,0.8027373797,0.695853417,77,102,0.04249178296,8.986,4.346,16.407,35.944,km
39280,,18.71,37.423,3,,2,0.7138178953,0.6900084111,0.7019131532,59,80,0.2086402629,18.71,8.807,37.423,,
39369,,71.852,,1,,3,0.4878447399,0.8126879411,0.6502663405,62,133,0.2504552555,71.852,35.966,71.963,33.218,km
39794,,11.812,,1,,2,0.6902285359,0.7361882975,0.7132084167,49,91,0.1926078495,11.812,5.91,23.624,19.594,km
41340,,13.849,,3,,2,0.5060465512,0.6907064318,0.5983764915,56,100,0.1472280242,6.924,3.709,13.849,34.95,km
42036,,35.132,,1,,3,0.6264910437,0.6843975537,0.6554442987,62,85,0.09934442469,35.132,15.953,68.588,,
42146,,56.368,,3,,2,0.7222141669,0.5901538431,0.656184005,67,114,0.1234321869,56.368,28.184,62.42,,
42168,,7.206,,3,,2,0.5625443281,0.7952130457,0.6788786869,77,86,0.1480320028,3.603,1.649,7.206,18.934,km
48373,,21.405,10.175,2,,3,0.6561970106,0.6745733405,0.6653851756,67,80,0.1410389477,21.405,10.175,42.963,20.267,km
51378,,48.565,,3,,2,0.6503469669,0.6537771481,0.6520620575,127,192,0.1654104864,24.283,12.055,48.565,23.229,km
53418,,14.178,,3,,2,0.722680259,0.6574617558,0.6900710074,77,125,0.09426020454,7.511,3.755,14.178,25.302,km
53436,,52.895,,3,,2,1.306322164,1.269918484,1.288120324,61,72,0.1605635536,27.285,12.751,52.895,28.399,km
53449,,50.965,,3,,2,0.6966937912,1.108149206,0.9024214988,71,114,0.3895319626,25.482,12.359,50.965,,
55419,,19.282,,1,,1,0.6250483649,0.6271757224,0.6261120436,68,97,0.1615132169,19.282,8.786,41.583,31.406,km
55563,,42.55,,3,,2,0.7857456984,0.9113300095,0.8485378539,122,217,0.1305823082,42.55,21.274,63.826,26.631,km
59049,6.173,6.172,,3,,2,0.9188981031,0.9631517107,0.9410249069,117,180,0.2809856185,3.086,1.478,6.172,,
60383,,7.695,,1,,2,0.6965961612,0.651676552,0.6741363566,76,142,0.08060785436,7.695,4.226,16.256,34.916,km
